country,iso3,continent,lat_grid,lon_grid,inform_risk_score,risk_label,eq_count,eq_mag_mean,eq_depth_mean,has_seismic_activity,eq_frequency_score,seismic_energy_proxy,mag_depth_ratio,depth_category,lat_abs,neighbor_eq_count
United States of America,USA,North America,68.5,-163.5,3.2,Low,0,0.0,0.0,0,0.0,1.0,0.0,0,68.5,0.61529333649906
United States of America,USA,North America,55.5,-162.5,3.2,Low,3,4.7,126.7567,1,1.3862943611198906,11220184.543019652,0.03678867722788707,2,55.5,0.71914979352385
United States of America,USA,North America,60.5,-162.5,3.2,Low,0,0.0,0.0,0,0.0,1.0,0.0,0,60.5,3.299367485877812e-05
United States of America,USA,North America,61.5,-162.5,3.2,Low,0,0.0,0.0,0,0.0,1.0,0.0,0,61.5,0.00017466237123061433
United States of America,USA,North America,62.5,-162.5,3.2,Low,0,0.0,0.0,0,0.0,1.0,0.0,0,62.5,0.004040674924391833
United States of America,USA,North America,65.5,-162.5,3.2,Low,2,4.75,7.1,1,1.0986122886681098,13335214.32163324,0.5864197530864198,1,65.5,0.5259976410864348
United States of America,USA,North America,67.5,-162.5,3.2,Low,14,5.0929,21.5,1,2.70805020110221,43586299.62541031,0.22635111111111111,1,67.5,1.2503939715392702
United States of America,USA,North America,68.5,-162.5,3.2,Low,0,0.0,0.0,0,0.0,1.0,0.0,0,68.5,0.9105310288500514
United States of America,USA,North America,69.5,-162.5,3.2,Low,0,0.0,0.0,0,0.0,1.0,0.0,0,69.5,0.28571763812493994
United States of America,USA,North America,55.5,-161.5,3.2,Low,5,4.58,77.384,1,1.791759469228055,7413102.413009177,0.05843029189630537,2,55.5,0.7452994034704787
United States of America,USA,North America,59.5,-161.5,3.2,Low,0,0.0,0.0,0,0.0,1.0,0.0,0,59.5,0.00091247088181772
United States of America,USA,North America,60.5,-161.5,3.2,Low,0,0.0,0.0,0,0.0,1.0,0.0,0,60.5,0.0010837670921566998
United States of America,USA,North America,61.5,-161.5,3.2,Low,0,0.0,0.0,0,0.0,1.0,0.0,0,61.5,0.0018641916273381344
United States of America,USA,North America,62.5,-161.5,3.2,Low,0,0.0,0.0,0,0.0,1.0,0.0,0,62.5,0.004300186838977389
United States of America,USA,North America,65.5,-161.5,3.2,Low,0,0.0,0.0,0,0.0,1.0,0.0,0,65.5,0.42585362253342124
United States of America,USA,North America,66.5,-161.5,3.2,Low,0,0.0,0.0,0,0.0,1.0,0.0,0,66.5,0.8104155736042332
United States of America,USA,North America,67.5,-161.5,3.2,Low,2,4.75,13.6,1,1.0986122886681098,13335214.32163324,0.3253424657534247,1,67.5,1.0318396884925631
United States of America,USA,North America,68.5,-161.5,3.2,Low,0,0.0,0.0,0,0.0,1.0,0.0,0,68.5,0.7297990885071238
United States of America,USA,North America,69.5,-161.5,3.2,Low,0,0.0,0.0,0,0.0,1.0,0.0,0,69.5,0.21442575928195265
United States of America,USA,North America,59.5,-160.5,3.2,Low,0,0.0,0.0,0,0.0,1.0,0.0,0,59.5,0.006192109885022296
United States of America,USA,North America,60.5,-160.5,3.2,Low,0,0.0,0.0,0,0.0,1.0,0.0,0,60.5,0.013178243519907862
United States of America,USA,North America,61.5,-160.5,3.2,Low,0,0.0,0.0,0,0.0,1.0,0.0,0,61.5,0.021383015682396537
United States of America,USA,North America,62.5,-160.5,3.2,Low,0,0.0,0.0,0,0.0,1.0,0.0,0,62.5,0.015204305956580736
United States of America,USA,North America,63.5,-160.5,3.2,Low,0,0.0,0.0,0,0.0,1.0,0.0,0,63.5,0.030340743346646097
United States of America,USA,North America,64.5,-160.5,3.2,Low,0,0.0,0.0,0,0.0,1.0,0.0,0,64.5,0.12556229237705496
United States of America,USA,North America,65.5,-160.5,3.2,Low,1,4.5,10.0,1,0.6931471805599453,5623413.251903491,0.4090909090909091,1,65.5,0.26763261194483595
United States of America,USA,North America,66.5,-160.5,3.2,Low,0,0.0,0.0,0,0.0,1.0,0.0,0,66.5,0.43552921674915984
United States of America,USA,North America,67.5,-160.5,3.2,Low,1,4.5,10.0,1,0.6931471805599453,5623413.251903491,0.4090909090909091,1,67.5,0.5290324624303246
United States of America,USA,North America,68.5,-160.5,3.2,Low,0,0.0,0.0,0,0.0,1.0,0.0,0,68.5,0.3381868117950919
United States of America,USA,North America,69.5,-160.5,3.2,Low,0,0.0,0.0,0,0.0,1.0,0.0,0,69.5,0.08512055278437516
United States of America,USA,North America,70.5,-160.5,3.2,Low,0,0.0,0.0,0,0.0,1.0,0.0,0,70.5,0.007245941597508563
United States of America,USA,North America,56.5,-159.5,3.2,Low,1,4.5,152.0,1,0.6931471805599453,5623413.251903491,0.029411764705882353,2,56.5,0.35115955344201244
United States of America,USA,North America,59.5,-159.5,3.2,Low,0,0.0,0.0,0,0.0,1.0,0.0,0,59.5,0.03984721628927876
United States of America,USA,North America,60.5,-159.5,3.2,Low,0,0.0,0.0,0,0.0,1.0,0.0,0,60.5,0.05934025371303415
United States of America,USA,North America,61.5,-159.5,3.2,Low,0,0.0,0.0,0,0.0,1.0,0.0,0,61.5,0.09228811455218863
United States of America,USA,North America,62.5,-159.5,3.2,Low,0,0.0,0.0,0,0.0,1.0,0.0,0,62.5,0.05805386921674712
United States of America,USA,North America,63.5,-159.5,3.2,Low,0,0.0,0.0,0,0.0,1.0,0.0,0,63.5,0.029803562679573056
United States of America,USA,North America,64.5,-159.5,3.2,Low,0,0.0,0.0,0,0.0,1.0,0.0,0,64.5,0.10195941306613333
United States of America,USA,North America,65.5,-159.5,3.2,Low,0,0.0,0.0,0,0.0,1.0,0.0,0,65.5,0.27653243254071214
United States of America,USA,North America,66.5,-159.5,3.2,Low,0,0.0,0.0,0,0.0,1.0,0.0,0,66.5,0.39511211772135446
United States of America,USA,North America,67.5,-159.5,3.2,Low,0,0.0,0.0,0,0.0,1.0,0.0,0,67.5,0.3189192358681731
United States of America,USA,North America,68.5,-159.5,3.2,Low,0,0.0,0.0,0,0.0,1.0,0.0,0,68.5,0.13593013788457825
United States of America,USA,North America,69.5,-159.5,3.2,Low,0,0.0,0.0,0,0.0,1.0,0.0,0,69.5,0.025771445490005877
United States of America,USA,North America,70.5,-159.5,3.2,Low,0,0.0,0.0,0,0.0,1.0,0.0,0,70.5,0.001952045848099123
United States of America,USA,North America,56.5,-158.5,3.2,Low,1,5.5,91.5,1,0.6931471805599453,177827941.00389227,0.05945945945945946,2,56.5,0.5502343559512963
United States of America,USA,North America,59.5,-158.5,3.2,Low,0,0.0,0.0,0,0.0,1.0,0.0,0,59.5,0.1583365756332485
United States of America,USA,North America,60.5,-158.5,3.2,Low,0,0.0,0.0,0,0.0,1.0,0.0,0,60.5,0.10883354349622831
United States of America,USA,North America,61.5,-158.5,3.2,Low,1,4.6,20.0,1,0.6931471805599453,7943282.347242805,0.21904761904761902,1,61.5,0.14863427358260942
United States of America,USA,North America,62.5,-158.5,3.2,Low,0,0.0,0.0,0,0.0,1.0,0.0,0,62.5,0.09284011693350955
United States of America,USA,North America,63.5,-158.5,3.2,Low,0,0.0,0.0,0,0.0,1.0,0.0,0,63.5,0.039776197157212756
United States of America,USA,North America,64.5,-158.5,3.2,Low,0,0.0,0.0,0,0.0,1.0,0.0,0,64.5,0.1917939948287151
United States of America,USA,North America,65.5,-158.5,3.2,Low,0,0.0,0.0,0,0.0,1.0,0.0,0,65.5,0.6452285591765701
United States of America,USA,North America,66.5,-158.5,3.2,Low,0,0.0,0.0,0,0.0,1.0,0.0,0,66.5,0.9122483801826288
United States of America,USA,North America,67.5,-158.5,3.2,Low,0,0.0,0.0,0,0.0,1.0,0.0,0,67.5,0.6567970624965346
United States of America,USA,North America,68.5,-158.5,3.2,Low,0,0.0,0.0,0,0.0,1.0,0.0,0,68.5,0.20291216273830828
United States of America,USA,North America,69.5,-158.5,3.2,Low,0,0.0,0.0,0,0.0,1.0,0.0,0,69.5,0.022260457229834413
United States of America,USA,North America,70.5,-158.5,3.2,Low,0,0.0,0.0,0,0.0,1.0,0.0,0,70.5,0.001011977611399649
United States of America,USA,North America,57.5,-157.5,3.2,Low,7,4.9571,6.3857,1,2.0794415416798357,27267793.72535065,0.6711753794494767,1,57.5,1.0451427021909792
United States of America,USA,North America,59.5,-157.5,3.2,Low,0,0.0,0.0,0,0.0,1.0,0.0,0,59.5,0.3818515939543659
United States of America,USA,North America,60.5,-157.5,3.2,Low,0,0.0,0.0,0,0.0,1.0,0.0,0,60.5,0.1248240421098232
United States of America,USA,North America,61.5,-157.5,3.2,Low,0,0.0,0.0,0,0.0,1.0,0.0,0,61.5,0.09768635501316153
United States of America,USA,North America,62.5,-157.5,3.2,Low,0,0.0,0.0,0,0.0,1.0,0.0,0,62.5,0.05798367517828039
United States of America,USA,North America,63.5,-157.5,3.2,Low,0,0.0,0.0,0,0.0,1.0,0.0,0,63.5,0.039387012114201175
United States of America,USA,North America,64.5,-157.5,3.2,Low,0,0.0,0.0,0,0.0,1.0,0.0,0,64.5,0.28331135800356744
United States of America,USA,North America,65.5,-157.5,3.2,Low,0,0.0,0.0,0,0.0,1.0,0.0,0,65.5,0.9022866347195572
United States of America,USA,North America,66.5,-157.5,3.2,Low,15,4.8067,9.2933,1,2.772588722239781,16219968.258953774,0.46697366247947697,1,66.5,1.2384635657112402
United States of America,USA,North America,67.5,-157.5,3.2,Low,0,0.0,0.0,0,0.0,1.0,0.0,0,67.5,0.9355688240211111
United States of America,USA,North America,68.5,-157.5,3.2,Low,0,0.0,0.0,0,0.0,1.0,0.0,0,68.5,0.32489931304613
