country,iso3,inform_risk_score,risk_label,lat_grid,lon_grid,eq_count,eq_mag_mean,eq_mag_max,eq_depth_mean
Malaysia,MYS,3.2,Low,8.0,108.0,5,5.04,5.3,10.0
Maldives,MDV,2.1,Low,4.0,74.0,1,4.9,4.9,10.0
Mauritania,MRT,5.0,Medium,22.0,-12.0,1,4.6,4.6,10.0
Mexico,MEX,4.8,Medium,24.0,-102.0,1,4.6,4.6,33.0
Moldova Republic of,MDA,3.5,Low,44.0,28.0,1,4.8,4.8,31.2
Mongolia,MNG,2.7,Low,48.0,104.0,1,4.5,4.5,10.0
Montenegro,MNE,2.5,Low,42.0,20.0,6,5.066666666666666,5.7,7.5
Morocco,MAR,3.6,Medium,32.0,-6.0,6,4.633333333333334,5.0,9.716666666666667
Mozambique,MOZ,6.9,High,-18.0,34.0,10,4.85,5.5,10.7
Myanmar,MMR,6.9,High,18.0,96.0,30,4.806666666666667,6.0,11.643333333333334
Namibia,NAM,4.2,Medium,-22.0,16.0,1,4.8,4.8,10.0
Nepal,NPL,4.4,Medium,28.0,84.0,26,4.961538461538462,7.8,17.548076923076923
Netherlands,NLD,2.5,Low,50.0,6.0,1,4.8,4.8,17.2
New Zealand,NZL,1.5,Low,-40.0,174.0,117,4.7666666666666675,6.1,158.5911623931624
Nicaragua,NIC,4.4,Medium,12.0,-86.0,3,5.066666666666666,5.6,75.10000000000001
Niger,NER,7.4,High,18.0,10.0,1,4.6,4.6,10.0
North Macedonia,MKD,2.7,Low,42.0,22.0,6,4.716666666666666,5.6,10.916666666666666
Oman,OMN,2.3,Low,22.0,58.0,1,4.9,4.9,10.0
Pakistan,PAK,6.4,High,30.0,70.0,16,4.7125,5.4,18.69125
Panama,PAN,4.1,Medium,8.0,-80.0,18,5.066666666666666,6.1,49.65933333333333
Papua New Guinea,PNG,6.3,High,-6.0,144.0,267,4.823220973782771,6.2,83.24902247191012
Paraguay,PRY,2.9,Low,-20.0,-56.0,1,4.9,4.9,10.0
Peru,PER,4.5,Medium,-10.0,-74.0,3,4.833333333333333,5.2,115.29666666666667
