country,iso3,continent,lat_grid,lon_grid,inform_risk_score,risk_label,eq_count,eq_mag_mean,eq_mag_max,eq_depth_mean
United States of America,USA,North America,70.5,-160.5,3.2,Low,0,0.0,0.0,0.0
United States of America,USA,North America,56.5,-159.5,3.2,Low,1,4.5,4.5,152.0
United States of America,USA,North America,59.5,-159.5,3.2,Low,0,0.0,0.0,0.0
United States of America,USA,North America,60.5,-159.5,3.2,Low,0,0.0,0.0,0.0
United States of America,USA,North America,61.5,-159.5,3.2,Low,0,0.0,0.0,0.0
United States of America,USA,North America,62.5,-159.5,3.2,Low,0,0.0,0.0,0.0
United States of America,USA,North America,63.5,-159.5,3.2,Low,0,0.0,0.0,0.0
United States of America,USA,North America,64.5,-159.5,3.2,Low,0,0.0,0.0,0.0
United States of America,USA,North America,65.5,-159.5,3.2,Low,0,0.0,0.0,0.0
United States of America,USA,North America,66.5,-159.5,3.2,Low,0,0.0,0.0,0.0
United States of America,USA,North America,67.5,-159.5,3.2,Low,0,0.0,0.0,0.0
United States of America,USA,North America,68.5,-159.5,3.2,Low,0,0.0,0.0,0.0
United States of America,USA,North America,69.5,-159.5,3.2,Low,0,0.0,0.0,0.0
United States of America,USA,North America,70.5,-159.5,3.2,Low,0,0.0,0.0,0.0
United States of America,USA,North America,56.5,-158.5,3.2,Low,1,5.5,5.5,91.5
United States of America,USA,North America,59.5,-158.5,3.2,Low,0,0.0,0.0,0.0
United States of America,USA,North America,60.5,-158.5,3.2,Low,0,0.0,0.0,0.0
United States of America,USA,North America,61.5,-158.5,3.2,Low,1,4.6,4.6,20.0
United States of America,USA,North America,62.5,-158.5,3.2,Low,0,0.0,0.0,0.0
United States of America,USA,North America,63.5,-158.5,3.2,Low,0,0.0,0.0,0.0
United States of America,USA,North America,64.5,-158.5,3.2,Low,0,0.0,0.0,0.0
United States of America,USA,North America,65.5,-158.5,3.2,Low,0,0.0,0.0,0.0
United States of America,USA,North America,66.5,-158.5,3.2,Low,0,0.0,0.0,0.0
United States of America,USA,North America,67.5,-158.5,3.2,Low,0,0.0,0.0,0.0
United States of America,USA,North America,68.5,-158.5,3.2,Low,0,0.0,0.0,0.0
United States of America,USA,North America,69.5,-158.5,3.2,Low,0,0.0,0.0,0.0
United States of America,USA,North America,70.5,-158.5,3.2,Low,0,0.0,0.0,0.0
United States of America,USA,North America,57.5,-157.5,3.2,Low,7,4.9571,6.2,6.3857
United States of America,USA,North America,59.5,-157.5,3.2,Low,0,0.0,0.0,0.0
United States of America,USA,North America,60.5,-157.5,3.2,Low,0,0.0,0.0,0.0
United States of America,USA,North America,61.5,-157.5,3.2,Low,0,0.0,0.0,0.0
United States of America,USA,North America,62.5,-157.5,3.2,Low,0,0.0,0.0,0.0
United States of America,USA,North America,63.5,-157.5,3.2,Low,0,0.0,0.0,0.0
United States of America,USA,North America,64.5,-157.5,3.2,Low,0,0.0,0.0,0.0
United States of America,USA,North America,65.5,-157.5,3.2,Low,0,0.0,0.0,0.0
United States of America,USA,North America,66.5,-157.5,3.2,Low,15,4.8067,5.4,9.2933
United States of America,USA,North America,67.5,-157.5,3.2,Low,0,0.0,0.0,0.0
United States of America,USA,North America,68.5,-157.5,3.2,Low,0,0.0,0.0,0.0
United States of America,USA,North America,69.5,-157.5,3.2,Low,0,0.0,0.0,0.0
United States of America,USA,North America,70.5,-157.5,3.2,Low,0,0.0,0.0,0.0
United States of America,USA,North America,57.5,-156.5,3.2,Low,4,4.725,4.9,60.125
United States of America,USA,North America,58.5,-156.5,3.2,Low,3,5.1333,5.5,138.8333
United States of America,USA,North America,59.5,-156.5,3.2,Low,0,0.0,0.0,0.0
United States of America,USA,North America,60.5,-156.5,3.2,Low,0,0.0,0.0,0.0
United States of America,USA,North America,61.5,-156.5,3.2,Low,0,0.0,0.0,0.0
United States of America,USA,North America,62.5,-156.5,3.2,Low,0,0.0,0.0,0.0
United States of America,USA,North America,63.5,-156.5,3.2,Low,0,0.0,0.0,0.0
United States of America,USA,North America,64.5,-156.5,3.2,Low,0,0.0,0.0,0.0
United States of America,USA,North America,65.5,-156.5,3.2,Low,0,0.0,0.0,0.0
United States of America,USA,North America,66.5,-156.5,3.2,Low,0,0.0,0.0,0.0
United States of America,USA,North America,67.5,-156.5,3.2,Low,1,5.0,5.0,10.5
